InvoiceDate,invoiceMonth,invoiceDay,CustomerId,invoiceTotal,cumulativeSum
2018-09-02,9,2,25,1.98,1.98
2018-09-02,9,2,27,1.98,3.96
2018-09-03,9,3,29,3.96,7.92
2018-09-04,9,4,33,5.94,13.86
2018-09-07,9,7,39,8.91,22.77
2018-10-03,10,3,6,1.98,26.73
2018-10-03,10,3,4,1.98,24.75
2018-10-04,10,4,8,3.96,30.69
2018-10-05,10,5,12,5.94,36.63
2018-10-08,10,8,18,8.91,45.54
2018-11-03,11,3,44,1.98,49.50
2018-11-03,11,3,42,1.98,47.52
2018-11-04,11,4,46,3.96,53.46
2018-11-05,11,5,50,5.94,59.40
2018-11-08,11,8,56,8.91,68.31
2018-12-04,12,4,21,1.98,72.27
2018-12-04,12,4,23,1.98,70.29
2018-12-05,12,5,25,3.96,76.23
2018-12-06,12,6,29,5.94,82.17
