ColumnType Abbrev,ColumnType Description
A1,ARRAY 
AN ,MULTI-DIMENSIONAL ARRAY
AT, TIME 
BF ,BYTE
BO, BLOB 
BV ,VARBYTE
CF ,CHARACTER 
CO ,CLOB
CV ,VARCHAR 
D ,DECIMAL
DA, DATE 
DH, INTERVAL DAY TO HOUR
DM, INTERVAL DAY TO MINUTE 
DS ,INTERVAL DAY TO SECOND
DY ,INTERVAL DAY 
F ,FLOAT
HM ,INTERVAL HOUR TO MINUTE 
HS ,INTERVAL HOUR TO SECOND
HR ,INTERVAL HOUR 
I ,INTEGER
I1 ,BYTEINT 
I2 ,SMALLINT
I8, BIGINT 
JN ,JSON
MI ,INTERVAL MINUTE 
MO, INTERVAL MONTH
MS, INTERVAL MINUTE TO SECOND 
N ,NUMBER
PD ,PERIOD(DATE) 
PM ,PERIOD(TIMESTAMP WITH TIME ZONE)
PS ,PERIOD(TIMESTAMP) 
PT ,PERIOD(TIME)
PZ ,PERIOD(TIME WITH TIME ZONE) 
SC ,INTERVAL SECOND
SZ ,TIMESTAMP WITH TIME ZONE 
TS ,TIMESTAMP
TZ ,TIME WITH TIME ZONE 
UT ,UDT Type
XM, XML 
YM, INTERVAL YEAR TO MONTH
YR, INTERVAL YEAR 
 ++,TD_ANYTYP
